id,text,label,explanation
10,"“The statutes determine the conditions for the appointment and renewal of the members of the Board. “Board members perform their duties free of charge. “Art. 19-5. - The Board of Directors shall make all the decisions in the interests of the company Foundation. The members decide on the legal proceedings, vote the budget, approve the accounts, and decide on borrowing. “The President represents the foundation in legal matters and in the dealings with third parties. “Art. 19-6. - The minimum initial allocation, the amount of which is determined under conditions laid down through regulatory means is between the fifth of the minimum amount of the multiannual program of action referred to in the article 19-7 and the fifth of the amount of the multiannual action program of the company Foundation. “Art. 19-7. - The statutes of the company Foundation include a multiannual action program, the amount of which may not be less than the prescribed amount through regulatory means. “The corresponding sums may be paid in several fractions over a maximum period of five years. “The sums that each founding member undertakes to pay are guaranteed by a bank guarantee. “Art. 19-8.- The resources of the company Foundation include: “1°the payments of the founders, except for the initial endowment; “2° subsidies from the State, local authorities and their public institutions; “3° the remuneration for services rendered; “4° revenues from initial endowment and resources referred to in 1°, 2° and 3° above. “Under penalty of withdrawal of the administrative authorization provided for in the article 19-1, the company Foundation cannot make call to the public generosity; it cannot receive donations nor bequests. “Art. 19-9. - Company foundations establish an annual balance sheet, an income statement and an annex. They appoint at least one auditor and one substitute, selected from the list mentioned in article 219 of law No. 66-537 of 24 July, 1966 on commercial companies, which perform their duties under the conditions laid down by the Act; the provisions of article 457of the law aforementioned are applicable to them. The penalties provided for in section 439 of the Act are applicable to the President and members of the boards of company foundations that will not, each year, established a balance sheet, an income statement and an annex. The provisions of articles 455 and 458 of the same law are also applicable to them. “Company foundations whose resources exceed a prescribed threshold by way of regulation are required to establish a situation of feasible and available asset and liabilities due, an account of projected income statement, and a funding plan. These documents are analyzed in written reports on the evolution of the company Foundation, established by the Board of Directors; they are communicated to the external auditor. In the case of non-compliance of the provisions of present paragraph or if the reports referred to it call for comments on the part on the external auditor, the latter indicates it to the Board of Directors by means of a written report.",provision,"The text contains multiple enforceable rules and obligations regarding the appointment and duties of board members, the financial requirements and reporting obligations of company foundations, restrictions on fundraising, and the requirement to appoint auditors. These are actionable legal requirements, not merely descriptive or referential content."
11,"“The external auditor may draw the attention of the President or the members of the Board of the company Foundation on any fact that may compromise the continuity of the activity he has identified during its mission; it can ask the Board of directors to discuss the matter; he attends the meeting; in the case of non-compliance of these provisions or if, despite decisions taken, he notes that the continuity of the activity remains compromised, the external auditor establishes a special report which he sends to the administrative authority.",provision,"This paragraph establishes specific duties and rights of the external auditor, including the obligation to report facts compromising the continuity of the company's activity, the right to request discussion by the Board, attendance at meetings, and the requirement to submit a special report to the administrative authority if issues persist. These are enforceable legal rules and processes."
12,"“Art. 19-10. - The administrative authority shall ensure the regularity of the operation of the company Foundation; to this end, it can be given all documents and carry out any useful investigations. “The company Foundation shall, each year, address to the administrative authority a report on the status of its activities to which is attached the report of the auditor and annual accounts. “Art. 19-11.- When the Foundation is dissolved, either by the expiry of the period, or amicably by the withdrawal of all the founders, provided that they have fully paid the sums they have pledged to pay, a liquidator is appointed by the Board of Directors. If the Board has not been able to proceed with this nomination or if the dissolution results from the withdrawal of authorization, the liquidator is designated the judicial authority. “The appointment of the liquidator is published in the Official Gazette. “Art. 19-12. - In the event of dissolution of a company Foundation, the unused resources and endowment shall be allocated by the liquidator to one or many public or recognized public institutions whose activity is analogous to that of the dissolved company Foundation. “Art. 19-13. - A decree in Council of State lays down detailed rules for the application of articles 18 to 19-12 of this law.”",provision,"The text contains several articles that establish legal rules and procedures regarding the operation, reporting, dissolution, liquidation, and allocation of resources of a company Foundation. Each article sets out enforceable obligations and processes, such as the requirement for annual reports, the appointment of a liquidator, and the allocation of unused resources upon dissolution. The final article also provides for the issuance of a decree to implement these rules. Therefore, the text is a collection of legal provisions."
13,"Art. 5. - The first sentence of the first of the article 238bis of the General Tax Code is supplemented by the words: “especially when these payments are made to the benefit of a company Foundation, even if the latter bears the name of the founding company.”",provision,"This paragraph amends an existing legal article by specifying additional language to be included, thereby establishing a new legal rule regarding the interpretation or application of the law. It is actionable and enforceable content."
14,"Art. 6.- The article 20 of the abovementioned law No. 87-571 of 23 July, 1987 is worded as follows: “Art. 20.- Only recognized foundations of public utility may make use, in their title, their statutes, contracts, documents or publicity, of the designation of Foundation. However, may also be referred to as the irrevocable assignment, with a view to realization of general interest and non-profit, property, rights or resources to a recognized Foundation of public utility whose statutes have been approved as such, given that these assets, rights or resources are managed directly by the receiving Foundation, and without the creation of a separate legal entity for that purpose. “Only company foundations that meet the conditions set out in sections 19-1 to 19-10 of this Act may use, in their title, their statutes, contracts, documents or publicity, the name of company Foundation. It may be accompanied by the name (s) of the founders. “Groupings constituted before the publication of this Act, which use in their denomination the terms of Foundation or of company Foundation, must comply to its provisions before 31 December, 1991. “Presidents, directors or directors of groups who violate the provisions of this article shall be punished by a fine of 5000F to 15000F and, in the case of recidivism, by a fine of 10,000F  to 30,000F.”",provision,"This paragraph establishes enforceable legal rules regarding the use of the designation 'Foundation' and 'company Foundation,' sets conditions for their use, imposes compliance deadlines, and prescribes penalties for violations. It regulates rights, obligations, and sanctions, making it a standalone legal provision."
15,"Art. 7. - After the article 20 of the above Act No 87-571 of 23 July, 1987, is inserted an article 20-1 thus worded: “Art. 20-1.- A National Council of foundations is established with the task of: “- gathering and disseminating information on the merits; “- establishing an annual report on this subject matter; “- proposing to the public authorities actions aimed at the development of the sponsorship (patronage) of foundations.",provision,"This paragraph establishes the creation of a National Council of foundations, assigns it specific tasks, and outlines its responsibilities. It sets out enforceable and actionable content, regulating legal matters."
16,“The composition and operating procedures of this Council shall be set by Decree in Council of State.”,provision,"This sentence establishes a legal rule regarding how the composition and operating procedures of the Council will be determined, specifying that they shall be set by a Decree in Council of State. It is actionable and regulates a legal matter."
17,This law shall be enforced as a law of the State.,provision,"This sentence establishes the enforceability of the law within the State, making it an actionable and enforceable legal rule."
18,(the pages that follow are not fully translated),not_provision,"This is a note indicating that the following pages are not fully translated. It does not establish any legal rule, right, obligation, restriction, or process."
19,"Done in Paris, 4 July, 1990.",not_provision,"This sentence indicates the place and date of the document's completion, which is metadata and does not establish any legal rule, right, obligation, restriction, or process."
20,By the President of the Republic:,not_provision,"This phrase is an attribution or signature line, indicating who is issuing or endorsing the document, not a legal rule or enforceable content."
21,"The Prime Minister, MICHEL ROCARD",not_provision,"This text is simply naming an individual, likely as part of a signature block or attribution, and does not establish any legal rule, right, obligation, restriction, or process."
22,"The Minister of State, Minister of the Economy,",not_provision,"This fragment appears to be part of a heading or an introductory phrase, not a standalone legal rule, obligation, or process. It does not establish any enforceable or actionable content."
23,"The guard of the seals, Minister of Justice, Pierre ARPAILLANGE",not_provision,"This is a reference to a person holding an official position (Minister of Justice) and does not contain any legal rule, obligation, or enforceable content."
24,"The Minister of the Interior,",not_provision,"This fragment is not a standalone legal provision; it appears to be a partial reference to an official or office and does not establish any legal rule, right, obligation, restriction, or process."
25,"The Minister of Culture, Communication, Major Works and the Bicentennial,",not_provision,"This text appears to be a reference to a government official or office, likely as part of a heading or introductory clause. It does not establish any legal rule, right, obligation, restriction, or process."
26,"The Minister delegate to the Minister of State,",not_provision,"This fragment appears to be an incomplete sentence or a heading, and does not establish any legal rule, right, obligation, restriction, or process. It lacks enforceable or actionable content."
27,"Minister of Economy, Finance and Budget, in charge of",not_provision,"This fragment appears to be a partial title or designation of an official position, not a complete legal rule, obligation, or enforceable content."
28,(1) preparatory work: Act No. 90-559.,not_provision,"This text is a reference to preparatory work and an act number, which serves as metadata or citation rather than establishing any legal rule or obligation."
29,"Bill 4 (1989-1990); Report by Mr. Pierre Lafitte, on behalf of the Committee on Cultural Affairs, No. 213 (1989-1990);",not_provision,"This text is metadata providing information about the bill, the reporter, and the committee, but does not establish any legal rule, right, obligation, or process."
30,"Discussion and adoption on 26 April,",not_provision,"This text refers to the date of discussion and adoption, which is metadata and does not establish any legal rule, right, obligation, restriction, or process."
31,"Bill, adopted by the Senate, no. 1304; Report by Mrs Hélène Mignon, on behalf of the Committee on cultural Affairs , No 1368; Discussion adopted on 28 May 1990.",not_provision,"This paragraph contains metadata about the bill, including its number, the reporting committee, the rapporteur, and the date of discussion. It does not establish any legal rule, right, obligation, or process."
32,"Bill, as amended by the National Assembly, no. 327 (1989-1990); Report by Mr Pierre Laffitte, on behalf of the Committee on cultural Affairs , No 345 (1989-1990); Discussion and adoption on 13 June 1990.",not_provision,"This paragraph contains metadata about the bill, including its number, the report, the committee involved, and the date of discussion and adoption. It does not establish any legal rule, right, obligation, restriction, or process."
33,"National Assembly: Bill , adopted with amendments by the Senate at second reading, no . 1453; Report by Mrs Hélène Mignon, on behalf of the Committee on cultural Affairs , No 1475; Discussion and adoption on 22 June 1990.",not_provision,"This paragraph provides metadata about the legislative process, including bill numbers, committee reports, and dates of discussion and adoption. It does not establish any legal rule, right, obligation, restriction, or process."
